,Solar,Wind Offshore,Wind Onshore
2022-01-01 00:00:00+01:00,0.0,5973.0,25931.0
2022-01-01 00:15:00+01:00,0.0,5944.0,25718.0
2022-01-01 00:30:00+01:00,0.0,5914.0,25497.0
2022-01-01 00:45:00+01:00,0.0,5881.0,25265.0
2022-01-01 01:00:00+01:00,0.0,5910.0,25027.0
2022-01-01 01:15:00+01:00,0.0,5865.0,24767.0
2022-01-01 01:30:00+01:00,0.0,5811.0,24498.0
2022-01-01 01:45:00+01:00,0.0,5753.0,24219.0
2022-01-01 02:00:00+01:00,0.0,5690.0,23925.0
2022-01-01 02:15:00+01:00,0.0,5618.0,23633.0
2022-01-01 02:30:00+01:00,0.0,5542.0,23328.0
2022-01-01 02:45:00+01:00,0.0,5468.0,23017.0
2022-01-01 03:00:00+01:00,0.0,5392.0,22713.0
2022-01-01 03:15:00+01:00,0.0,5317.0,22454.0
2022-01-01 03:30:00+01:00,0.0,5243.0,22201.0
2022-01-01 03:45:00+01:00,0.0,5162.0,21948.0
2022-01-01 04:00:00+01:00,0.0,5084.0,21693.0
2022-01-01 04:15:00+01:00,0.0,5007.0,21423.0
2022-01-01 04:30:00+01:00,0.0,4929.0,21153.0
2022-01-01 04:45:00+01:00,0.0,4851.0,20882.0
2022-01-01 05:00:00+01:00,0.0,4739.0,20626.0
2022-01-01 05:15:00+01:00,0.0,4682.0,20337.0
2022-01-01 05:30:00+01:00,0.0,4618.0,20048.0
2022-01-01 05:45:00+01:00,0.0,4559.0,19757.0
2022-01-01 06:00:00+01:00,0.0,4492.0,19722.0
2022-01-01 06:15:00+01:00,0.0,4443.0,19452.0
2022-01-01 06:30:00+01:00,0.0,4391.0,19173.0
2022-01-01 06:45:00+01:00,0.0,4339.0,18891.0
2022-01-01 07:00:00+01:00,0.0,4278.0,18594.0
2022-01-01 07:15:00+01:00,0.0,4207.0,18308.0
2022-01-01 07:30:00+01:00,0.0,4132.0,18023.0
2022-01-01 07:45:00+01:00,0.0,4058.0,17746.0
2022-01-01 08:00:00+01:00,17.0,3989.0,17457.0
2022-01-01 08:15:00+01:00,103.0,3919.0,17134.0
2022-01-01 08:30:00+01:00,439.0,3846.0,16798.0
2022-01-01 08:45:00+01:00,783.0,3773.0,16455.0
2022-01-01 09:00:00+01:00,1224.0,3710.0,16080.0
2022-01-01 09:15:00+01:00,1732.0,3712.0,15680.0
2022-01-01 09:30:00+01:00,2300.0,3713.0,15265.0
2022-01-01 09:45:00+01:00,2871.0,3711.0,14843.0
2022-01-01 10:00:00+01:00,3445.0,3738.0,14444.0
2022-01-01 10:15:00+01:00,4003.0,3831.0,13996.0
2022-01-01 10:30:00+01:00,4541.0,3928.0,13548.0
2022-01-01 10:45:00+01:00,5046.0,4011.0,13107.0
2022-01-01 11:00:00+01:00,5516.0,4078.0,12670.0
2022-01-01 11:15:00+01:00,5947.0,4124.0,12297.0
2022-01-01 11:30:00+01:00,6301.0,4161.0,11925.0
2022-01-01 11:45:00+01:00,6577.0,4207.0,11565.0
2022-01-01 12:00:00+01:00,6796.0,4263.0,11212.0
2022-01-01 12:15:00+01:00,6942.0,4345.0,10806.0
2022-01-01 12:30:00+01:00,6979.0,4432.0,10408.0
2022-01-01 12:45:00+01:00,6924.0,4524.0,10019.0
2022-01-01 13:00:00+01:00,6793.0,4607.0,9653.0
2022-01-01 13:15:00+01:00,6536.0,4714.0,9279.0
2022-01-01 13:30:00+01:00,6236.0,4823.0,8911.0
2022-01-01 13:45:00+01:00,5853.0,4929.0,8551.0
2022-01-01 14:00:00+01:00,5400.0,5025.0,8227.0
2022-01-01 14:15:00+01:00,4891.0,5100.0,8058.0
2022-01-01 14:30:00+01:00,4295.0,5172.0,7893.0
2022-01-01 14:45:00+01:00,3635.0,5243.0,7731.0
2022-01-01 15:00:00+01:00,2945.0,5213.0,7582.0
2022-01-01 15:15:00+01:00,2254.0,5270.0,7618.0
2022-01-01 15:30:00+01:00,1564.0,5316.0,7668.0
2022-01-01 15:45:00+01:00,957.0,5368.0,7728.0
2022-01-01 16:00:00+01:00,455.0,5413.0,7810.0
2022-01-01 16:15:00+01:00,224.0,5455.0,8130.0
2022-01-01 16:30:00+01:00,34.0,5498.0,8448.0
2022-01-01 16:45:00+01:00,10.0,5544.0,8765.0
2022-01-01 17:00:00+01:00,0.0,5586.0,9072.0
2022-01-01 17:15:00+01:00,0.0,5617.0,9468.0
2022-01-01 17:30:00+01:00,0.0,5653.0,9847.0
2022-01-01 17:45:00+01:00,0.0,5684.0,10236.0
2022-01-01 18:00:00+01:00,0.0,5921.0,10609.0
2022-01-01 18:15:00+01:00,0.0,5601.0,10986.0
2022-01-01 18:30:00+01:00,0.0,5631.0,11365.0
2022-01-01 18:45:00+01:00,0.0,5663.0,11740.0
2022-01-01 19:00:00+01:00,0.0,5691.0,12098.0
2022-01-01 19:15:00+01:00,0.0,5716.0,12419.0
2022-01-01 19:30:00+01:00,0.0,5744.0,12739.0
2022-01-01 19:45:00+01:00,0.0,5774.0,13059.0
2022-01-01 20:00:00+01:00,0.0,5806.0,13371.0
2022-01-01 20:15:00+01:00,0.0,5839.0,13660.0
2022-01-01 20:30:00+01:00,0.0,5874.0,13948.0
2022-01-01 20:45:00+01:00,0.0,5908.0,14228.0
2022-01-01 21:00:00+01:00,0.0,5945.0,14517.0
2022-01-01 21:15:00+01:00,0.0,5982.0,14811.0
2022-01-01 21:30:00+01:00,0.0,6018.0,15107.0
2022-01-01 21:45:00+01:00,0.0,6057.0,15410.0
2022-01-01 22:00:00+01:00,0.0,6118.0,15479.0
2022-01-01 22:15:00+01:00,0.0,6138.0,15702.0
2022-01-01 22:30:00+01:00,0.0,6157.0,15933.0
2022-01-01 22:45:00+01:00,0.0,6173.0,16179.0
2022-01-01 23:00:00+01:00,0.0,6184.0,16430.0
2022-01-01 23:15:00+01:00,0.0,6183.0,16684.0
2022-01-01 23:30:00+01:00,0.0,6183.0,16943.0
2022-01-01 23:45:00+01:00,0.0,6178.0,17199.0
2022-01-02 00:00:00+01:00,0.0,6409.0,17309.0
2022-01-02 00:15:00+01:00,0.0,6397.0,17402.0
2022-01-02 00:30:00+01:00,0.0,6385.0,17475.0
2022-01-02 00:45:00+01:00,0.0,6366.0,17562.0
2022-01-02 01:00:00+01:00,0.0,6168.0,17642.0
2022-01-02 01:15:00+01:00,0.0,6151.0,17695.0
2022-01-02 01:30:00+01:00,0.0,6134.0,17737.0
2022-01-02 01:45:00+01:00,0.0,6111.0,17772.0
2022-01-02 02:00:00+01:00,0.0,6091.0,17807.0
2022-01-02 02:15:00+01:00,0.0,6073.0,17862.0
2022-01-02 02:30:00+01:00,0.0,6047.0,17908.0
2022-01-02 02:45:00+01:00,0.0,6023.0,17956.0
2022-01-02 03:00:00+01:00,0.0,5989.0,17995.0
2022-01-02 03:15:00+01:00,0.0,5953.0,18030.0
2022-01-02 03:30:00+01:00,0.0,5914.0,18076.0
2022-01-02 03:45:00+01:00,0.0,5871.0,18118.0
2022-01-02 04:00:00+01:00,0.0,5826.0,18155.0
2022-01-02 04:15:00+01:00,0.0,5783.0,18126.0
2022-01-02 04:30:00+01:00,0.0,5738.0,18101.0
2022-01-02 04:45:00+01:00,0.0,5689.0,18080.0
2022-01-02 05:00:00+01:00,0.0,5641.0,18064.0
2022-01-02 05:15:00+01:00,0.0,5607.0,18093.0
2022-01-02 05:30:00+01:00,0.0,5568.0,18125.0
2022-01-02 05:45:00+01:00,0.0,5520.0,18157.0
2022-01-02 06:00:00+01:00,0.0,5478.0,18442.0
2022-01-02 06:15:00+01:00,0.0,5424.0,18552.0
2022-01-02 06:30:00+01:00,0.0,5371.0,18663.0
2022-01-02 06:45:00+01:00,0.0,5309.0,18772.0
2022-01-02 07:00:00+01:00,0.0,5256.0,18892.0
2022-01-02 07:15:00+01:00,0.0,5250.0,19057.0
2022-01-02 07:30:00+01:00,0.0,5244.0,19230.0
2022-01-02 07:45:00+01:00,0.0,5235.0,19412.0
2022-01-02 08:00:00+01:00,14.0,5212.0,19614.0
2022-01-02 08:15:00+01:00,84.0,5175.0,19860.0
2022-01-02 08:30:00+01:00,377.0,5136.0,20118.0
2022-01-02 08:45:00+01:00,660.0,5098.0,20374.0
2022-01-02 09:00:00+01:00,1023.0,5060.0,20668.0
2022-01-02 09:15:00+01:00,1443.0,5066.0,20958.0
2022-01-02 09:30:00+01:00,1901.0,5069.0,21291.0
2022-01-02 09:45:00+01:00,2390.0,5059.0,21620.0
2022-01-02 10:00:00+01:00,2816.0,5060.0,21928.0
2022-01-02 10:15:00+01:00,3230.0,5125.0,22206.0
2022-01-02 10:30:00+01:00,3621.0,5176.0,22448.0
2022-01-02 10:45:00+01:00,3976.0,5219.0,22668.0
2022-01-02 11:00:00+01:00,4294.0,5248.0,22886.0
2022-01-02 11:15:00+01:00,4588.0,5310.0,23396.0
2022-01-02 11:30:00+01:00,4788.0,5362.0,23908.0
2022-01-02 11:45:00+01:00,4899.0,5413.0,24391.0
2022-01-02 12:00:00+01:00,4970.0,5453.0,24815.0
2022-01-02 12:15:00+01:00,5004.0,5481.0,25351.0
2022-01-02 12:30:00+01:00,4940.0,5507.0,25883.0
2022-01-02 12:45:00+01:00,4789.0,5531.0,26429.0
2022-01-02 13:00:00+01:00,4620.0,5557.0,27033.0
2022-01-02 13:15:00+01:00,4432.0,5583.0,27646.0
2022-01-02 13:30:00+01:00,4205.0,5607.0,28201.0
2022-01-02 13:45:00+01:00,3911.0,5631.0,28739.0
2022-01-02 14:00:00+01:00,3616.0,5652.0,29242.0
2022-01-02 14:15:00+01:00,3302.0,5621.0,29832.0
2022-01-02 14:30:00+01:00,2898.0,5659.0,30451.0
2022-01-02 14:45:00+01:00,2446.0,5697.0,31036.0
2022-01-02 15:00:00+01:00,1962.0,5726.0,31572.0
2022-01-02 15:15:00+01:00,1498.0,5738.0,32014.0
2022-01-02 15:30:00+01:00,1051.0,5744.0,32440.0
2022-01-02 15:45:00+01:00,657.0,5748.0,32824.0
2022-01-02 16:00:00+01:00,358.0,5750.0,33174.0
2022-01-02 16:15:00+01:00,152.0,5808.0,33418.0
2022-01-02 16:30:00+01:00,33.0,5863.0,33650.0
2022-01-02 16:45:00+01:00,9.0,5910.0,33888.0
2022-01-02 17:00:00+01:00,0.0,5957.0,34099.0
2022-01-02 17:15:00+01:00,0.0,5998.0,34211.0
2022-01-02 17:30:00+01:00,0.0,6035.0,34314.0
2022-01-02 17:45:00+01:00,0.0,6072.0,34422.0
2022-01-02 18:00:00+01:00,0.0,6101.0,34507.0
2022-01-02 18:15:00+01:00,0.0,6132.0,34539.0
2022-01-02 18:30:00+01:00,0.0,6160.0,34568.0
2022-01-02 18:45:00+01:00,0.0,6191.0,34583.0
2022-01-02 19:00:00+01:00,0.0,6210.0,34598.0
2022-01-02 19:15:00+01:00,0.0,6236.0,34519.0
2022-01-02 19:30:00+01:00,0.0,6257.0,34442.0
2022-01-02 19:45:00+01:00,0.0,6281.0,34323.0
2022-01-02 20:00:00+01:00,0.0,6329.0,34178.0
2022-01-02 20:15:00+01:00,0.0,6324.0,33977.0
2022-01-02 20:30:00+01:00,0.0,6322.0,33847.0
2022-01-02 20:45:00+01:00,0.0,6319.0,33716.0
2022-01-02 21:00:00+01:00,0.0,6316.0,33587.0
2022-01-02 21:15:00+01:00,0.0,6313.0,33457.0
2022-01-02 21:30:00+01:00,0.0,6307.0,33318.0
2022-01-02 21:45:00+01:00,0.0,6301.0,33125.0
2022-01-02 22:00:00+01:00,0.0,6298.0,32341.0
2022-01-02 22:15:00+01:00,0.0,6305.0,32096.0
2022-01-02 22:30:00+01:00,0.0,6311.0,31983.0
2022-01-02 22:45:00+01:00,0.0,6316.0,31846.0
2022-01-02 23:00:00+01:00,0.0,6324.0,31698.0
2022-01-02 23:15:00+01:00,0.0,6343.0,31618.0
2022-01-02 23:30:00+01:00,0.0,6364.0,31538.0
2022-01-02 23:45:00+01:00,0.0,6377.0,31431.0
2022-01-03 00:00:00+01:00,0.0,6291.0,30241.0
2022-01-03 00:15:00+01:00,0.0,6377.0,30266.0
2022-01-03 00:30:00+01:00,0.0,6456.0,30226.0
2022-01-03 00:45:00+01:00,0.0,6368.0,30157.0
2022-01-03 01:00:00+01:00,0.0,6323.0,30073.0
2022-01-03 01:15:00+01:00,0.0,6349.0,30138.0
2022-01-03 01:30:00+01:00,0.0,6375.0,30335.0
2022-01-03 01:45:00+01:00,0.0,6396.0,30558.0
2022-01-03 02:00:00+01:00,0.0,6412.0,30773.0
2022-01-03 02:15:00+01:00,0.0,6427.0,31006.0
2022-01-03 02:30:00+01:00,0.0,6430.0,31234.0
2022-01-03 02:45:00+01:00,0.0,6436.0,31466.0
2022-01-03 03:00:00+01:00,0.0,6439.0,31679.0
2022-01-03 03:15:00+01:00,0.0,6431.0,31829.0
2022-01-03 03:30:00+01:00,0.0,6426.0,32012.0
2022-01-03 03:45:00+01:00,0.0,6417.0,32176.0
2022-01-03 04:00:00+01:00,0.0,6405.0,32324.0
2022-01-03 04:15:00+01:00,0.0,6411.0,32440.0
2022-01-03 04:30:00+01:00,0.0,6415.0,32545.0
2022-01-03 04:45:00+01:00,0.0,6346.0,32793.0
2022-01-03 05:00:00+01:00,0.0,6268.0,33051.0
2022-01-03 05:15:00+01:00,0.0,6275.0,33233.0
2022-01-03 05:30:00+01:00,0.0,6285.0,33366.0
2022-01-03 05:45:00+01:00,0.0,6159.0,33497.0
2022-01-03 06:00:00+01:00,0.0,6146.0,34186.0
2022-01-03 06:15:00+01:00,0.0,6155.0,34422.0
2022-01-03 06:30:00+01:00,0.0,6161.0,34592.0
2022-01-03 06:45:00+01:00,0.0,6169.0,34626.0
2022-01-03 07:00:00+01:00,0.0,6179.0,34672.0
2022-01-03 07:15:00+01:00,0.0,6186.0,34675.0
2022-01-03 07:30:00+01:00,0.0,6195.0,34688.0
2022-01-03 07:45:00+01:00,0.0,6198.0,34712.0
2022-01-03 08:00:00+01:00,6.0,6178.0,34720.0
2022-01-03 08:15:00+01:00,46.0,6182.0,34686.0
2022-01-03 08:30:00+01:00,317.0,6183.0,34646.0
2022-01-03 08:45:00+01:00,561.0,6185.0,34610.0
2022-01-03 09:00:00+01:00,890.0,6189.0,34580.0
2022-01-03 09:15:00+01:00,1296.0,6194.0,34564.0
2022-01-03 09:30:00+01:00,1745.0,6193.0,34557.0
2022-01-03 09:45:00+01:00,2220.0,6198.0,34565.0
2022-01-03 10:00:00+01:00,2694.0,6198.0,34572.0
2022-01-03 10:15:00+01:00,3167.0,6199.0,34645.0
2022-01-03 10:30:00+01:00,3624.0,6199.0,34723.0
2022-01-03 10:45:00+01:00,4051.0,6199.0,34797.0
2022-01-03 11:00:00+01:00,4490.0,6200.0,34861.0
2022-01-03 11:15:00+01:00,4858.0,6201.0,34979.0
2022-01-03 11:30:00+01:00,5140.0,6200.0,35098.0
2022-01-03 11:45:00+01:00,5335.0,6199.0,35198.0
2022-01-03 12:00:00+01:00,5467.0,6197.0,35292.0
2022-01-03 12:15:00+01:00,5555.0,6199.0,35290.0
2022-01-03 12:30:00+01:00,5555.0,6200.0,35285.0
2022-01-03 12:45:00+01:00,5490.0,6197.0,35270.0
2022-01-03 13:00:00+01:00,5345.0,6195.0,35243.0
2022-01-03 13:15:00+01:00,5184.0,6195.0,35097.0
2022-01-03 13:30:00+01:00,4917.0,6194.0,34945.0
2022-01-03 13:45:00+01:00,4563.0,6193.0,34786.0
2022-01-03 14:00:00+01:00,4173.0,6196.0,34620.0
2022-01-03 14:15:00+01:00,3679.0,6202.0,34339.0
2022-01-03 14:30:00+01:00,3193.0,6203.0,34042.0
2022-01-03 14:45:00+01:00,2662.0,6206.0,33734.0
2022-01-03 15:00:00+01:00,2087.0,6262.0,33405.0
2022-01-03 15:15:00+01:00,1549.0,6263.0,33104.0
2022-01-03 15:30:00+01:00,1044.0,6263.0,32788.0
2022-01-03 15:45:00+01:00,627.0,6263.0,32475.0
2022-01-03 16:00:00+01:00,337.0,6265.0,32181.0
2022-01-03 16:15:00+01:00,123.0,6255.0,32080.0
2022-01-03 16:30:00+01:00,13.0,6259.0,31975.0
2022-01-03 16:45:00+01:00,4.0,6264.0,31864.0
2022-01-03 17:00:00+01:00,0.0,6236.0,31750.0
2022-01-03 17:15:00+01:00,0.0,6237.0,31708.0
2022-01-03 17:30:00+01:00,0.0,6234.0,31657.0
2022-01-03 17:45:00+01:00,0.0,6234.0,31606.0
2022-01-03 18:00:00+01:00,0.0,6223.0,31561.0
2022-01-03 18:15:00+01:00,0.0,6213.0,31495.0
2022-01-03 18:30:00+01:00,0.0,6187.0,31422.0
2022-01-03 18:45:00+01:00,0.0,6164.0,31338.0
2022-01-03 19:00:00+01:00,0.0,6135.0,31240.0
2022-01-03 19:15:00+01:00,0.0,6101.0,31077.0
2022-01-03 19:30:00+01:00,0.0,6019.0,30907.0
2022-01-03 19:45:00+01:00,0.0,5987.0,30733.0
2022-01-03 20:00:00+01:00,0.0,5953.0,30552.0
2022-01-03 20:15:00+01:00,0.0,5912.0,30312.0
2022-01-03 20:30:00+01:00,0.0,5929.0,30064.0
2022-01-03 20:45:00+01:00,0.0,5882.0,29807.0
2022-01-03 21:00:00+01:00,0.0,5839.0,29550.0
2022-01-03 21:15:00+01:00,0.0,5785.0,29248.0
2022-01-03 21:30:00+01:00,0.0,5726.0,28934.0
2022-01-03 21:45:00+01:00,0.0,5663.0,28621.0
2022-01-03 22:00:00+01:00,0.0,5671.0,27807.0
2022-01-03 22:15:00+01:00,0.0,5563.0,27424.0
2022-01-03 22:30:00+01:00,0.0,5442.0,27026.0
2022-01-03 22:45:00+01:00,0.0,5319.0,26613.0
2022-01-03 23:00:00+01:00,0.0,5159.0,26195.0
2022-01-03 23:15:00+01:00,0.0,5029.0,25788.0
2022-01-03 23:30:00+01:00,0.0,4907.0,25379.0
